Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,138.070007,140.190002,137.800003,139.630005,139.630005,12476200
2019-10-02,140.789993,141.880005,140.460007,141.259995,141.259995,11914300
2019-10-03,141.360001,143.250000,141.289993,141.899994,141.899994,12396100
2019-10-04,141.479996,142.309998,141.139999,141.899994,141.899994,9651000
2019-10-07,141.160004,141.770004,140.240005,140.690002,140.690002,6127200
2019-10-08,142.029999,142.289993,141.169998,141.919998,141.919998,10428900
2019-10-09,142.160004,142.580002,141.619995,142.050003,142.050003,6927700
2019-10-10,141.589996,141.660004,140.580002,140.809998,140.809998,9301700
2019-10-11,139.970001,140.190002,138.910004,140.029999,140.029999,11333400
2019-10-14,140.449997,140.820007,140.339996,140.589996,140.589996,4006700
2019-10-15,140.270004,140.300003,139.210007,139.610001,139.610001,9128300
2019-10-16,140.139999,140.529999,139.699997,140.410004,140.410004,10330300
2019-10-17,140.500000,141.119995,140.419998,140.610001,140.610001,6131000
2019-10-18,140.500000,140.710007,140.320007,140.460007,140.460007,6416100
2019-10-21,140.720001,140.759995,139.600006,139.789993,139.789993,8306200
2019-10-22,140.130005,140.300003,139.720001,140.199997,140.199997,3879700
2019-10-23,140.589996,141.000000,140.500000,140.529999,140.529999,4155300
2019-10-24,141.020004,141.740005,140.929993,141.529999,141.529999,6174800
2019-10-25,142.789993,142.830002,141.399994,141.860001,141.860001,6011500
2019-10-28,141.250000,141.250000,140.399994,140.639999,140.639999,5441600
2019-10-29,140.000000,140.630005,139.779999,140.250000,140.250000,3835100
2019-10-30,140.539993,141.039993,139.550003,141.020004,141.020004,6992900
2019-10-31,141.979996,142.690002,141.889999,142.429993,142.429993,7050900
2019-11-01,142.210007,142.899994,142.009995,142.559998,142.559998,8090000
2019-11-04,142.259995,142.449997,141.740005,142.149994,142.149994,4740300
2019-11-05,140.649994,140.889999,139.380005,139.850006,139.850006,11782300
2019-11-06,140.119995,140.789993,140.000000,140.449997,140.449997,6416500
2019-11-07,140.110001,140.199997,137.600006,138.270004,138.270004,15214200
2019-11-08,137.729996,138.330002,137.389999,137.389999,137.389999,10377400
2019-11-11,137.610001,137.789993,136.440002,137.059998,137.059998,7037300
2019-11-12,137.029999,137.589996,136.190002,137.429993,137.429993,6448600
2019-11-13,137.800003,138.220001,137.639999,137.979996,137.979996,8776000
2019-11-14,138.389999,138.940002,137.869995,138.559998,138.559998,5220500
2019-11-15,138.029999,138.419998,137.970001,138.210007,138.210007,10106700
2019-11-18,138.440002,138.850006,138.300003,138.619995,138.619995,5717900
2019-11-19,138.130005,138.970001,138.130005,138.690002,138.690002,4824400
2019-11-20,138.529999,139.000000,138.100006,138.759995,138.759995,6892100
2019-11-21,138.389999,138.559998,137.770004,138.000000,138.000000,4197200
2019-11-22,138.369995,138.460007,137.660004,137.740005,137.740005,3620300
2019-11-25,137.320007,137.619995,136.990005,137.080002,137.080002,6415800
2019-11-26,136.979996,137.800003,136.580002,137.740005,137.740005,4724400
2019-11-27,137.029999,137.210007,136.830002,137.009995,137.009995,4111000
2019-11-29,137.100006,138.130005,137.080002,137.860001,137.860001,4516400
