Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,5696.200195,5704.930176,5594.930176,5597.629883,5597.629883,75964100
2019-10-02,5587.140137,5589.200195,5422.770020,5422.770020,5422.770020,104451600
2019-10-03,5432.009766,5472.620117,5393.490234,5438.770020,5438.770020,83768700
2019-10-04,5456.830078,5488.319824,5426.000000,5488.319824,5488.319824,76196900
2019-10-07,5476.770020,5524.189941,5461.589844,5521.609863,5521.609863,60954000
2019-10-08,5526.009766,5531.290039,5451.720215,5456.620117,5456.620117,72687700
2019-10-09,5458.160156,5515.640137,5447.009766,5499.140137,5499.140137,69267500
2019-10-10,5520.979980,5581.069824,5487.169922,5569.049805,5569.049805,87261800
2019-10-11,5576.950195,5667.399902,5574.259766,5665.479980,5665.479980,115452700
2019-10-14,5646.330078,5649.669922,5600.109863,5643.080078,5643.080078,65357900
2019-10-15,5676.740234,5724.310059,5659.689941,5702.049805,5702.049805,88007900
2019-10-16,5703.390137,5708.910156,5677.959961,5696.899902,5696.899902,83929000
2019-10-17,5679.919922,5737.149902,5673.069824,5673.069824,5673.069824,88695900
2019-10-18,5653.080078,5667.589844,5621.870117,5636.250000,5636.250000,95316900
2019-10-21,5633.040039,5664.580078,5625.100098,5648.350098,5648.350098,77639300
2019-10-22,5644.979980,5658.649902,5612.859863,5657.689941,5657.689941,67301500
2019-10-23,5617.299805,5657.649902,5616.020020,5653.439941,5653.439941,75280000
2019-10-24,5678.259766,5691.500000,5659.950195,5684.330078,5684.330078,83627900
2019-10-25,5694.899902,5722.640137,5671.819824,5722.149902,5722.149902,71714000
2019-10-28,5720.729980,5747.100098,5711.100098,5730.569824,5730.569824,69809000
2019-10-29,5728.100098,5742.080078,5715.259766,5740.140137,5740.140137,74571800
2019-10-30,5749.689941,5765.870117,5720.270020,5765.870117,5765.870117,90959100
2019-10-31,5770.259766,5778.240234,5718.629883,5729.859863,5729.859863,112062300
2019-11-01,5749.479980,5778.290039,5739.700195,5761.890137,5761.890137,65867300
2019-11-04,5788.359863,5833.689941,5784.850098,5824.299805,5824.299805,86434000
2019-11-05,5825.600098,5850.009766,5818.939941,5846.890137,5846.890137,78408500
2019-11-06,5847.609863,5876.270020,5838.399902,5866.740234,5866.740234,86948200
2019-11-07,5888.839844,5894.870117,5871.180176,5890.990234,5890.990234,105688900
2019-11-08,5867.419922,5889.700195,5861.609863,5889.700195,5889.700195,94387100
2019-11-11,5873.740234,5906.330078,5871.709961,5893.819824,5893.819824,60606400
2019-11-12,5904.270020,5931.189941,5897.299805,5919.750000,5919.750000,72093200
2019-11-13,5908.160156,5917.569824,5874.060059,5907.089844,5907.089844,76988600
2019-11-14,5902.399902,5916.899902,5894.069824,5901.080078,5901.080078,67172300
2019-11-15,5933.069824,5947.620117,5907.950195,5939.270020,5939.270020,74070300
2019-11-18,5939.640137,5942.470215,5900.350098,5929.790039,5929.790039,70805300
2019-11-19,5936.990234,5966.790039,5895.910156,5909.049805,5909.049805,72290900
2019-11-20,5880.689941,5902.950195,5859.580078,5894.029785,5894.029785,74180900
2019-11-21,5860.549805,5895.569824,5834.259766,5881.209961,5881.209961,76235300
2019-11-22,5885.609863,5930.459961,5885.609863,5893.129883,5893.129883,75146000
2019-11-25,5917.839844,5933.750000,5908.290039,5924.859863,5924.859863,62132600
2019-11-26,5927.410156,5941.509766,5909.930176,5929.620117,5929.620117,112044300
2019-11-27,5943.450195,5947.299805,5921.919922,5926.839844,5926.839844,68032200
2019-11-28,5909.950195,5919.129883,5900.209961,5912.720215,5912.720215,42729800
2019-11-29,5895.890137,5929.790039,5885.660156,5905.169922,5905.169922,61639300
